case_id,experiment_no,T_C,pH,topo_wt_pct,na_li_mass_ratio,oh_inventory_multiplier,invert_reaction_constants,initial_Li_mol,initial_Na_mol,initial_OH_mol,Li_extraction_pct_calc,Na_extraction_pct_calc,selectivity_calc,Li_extraction_pct_exp,Na_extraction_pct_exp,selectivity_exp,Li_extraction_AARD_contribution_pct,selectivity_AARD_contribution_pct,converged,iterations,final_extent_delta,source
held_2014_s2_no_born_no_kij_pH_stoich,18,40.0,10.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.5110784852457965e-10,9.962234684008738e-11,4.528179297449122,31.51,13.65,2.31,99.99999999856836,96.02507781165029,True,1,9.999997295675175e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,19,30.0,9.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,1e-05,4.511007848401937e-10,9.962233378401288e-11,4.52810898626614,33.64,11.07,3.04,99.99999999865904,48.95095349559672,True,1,9.999999729566744e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,20,30.0,11.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.001,4.511784973854602e-10,9.962247739649618e-11,4.528882529088045,39.9,11.32,3.52,99.99999999886923,28.661435485455815,True,1,9.999972957567808e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,21,30.0,10.0,10.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.5112407544545025e-10,9.96224052713203e-11,4.528339525800646,38.01,9.79,3.88,99.99999999881314,16.709781592800145,True,1,9.999986403022466e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,22,30.0,10.0,50.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.5110277583173913e-10,9.962233559669316e-11,4.52812888926801,38.91,11.58,3.36,99.99999999884065,34.765740752024115,True,1,9.999999391649923e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,23,30.0,10.0,30.0,5.0,1.0,False,0.1440922190201729,0.21748804870549157,0.0001,4.511077004598626e-10,2.9886701252500433e-10,1.5093927451164295,36.47,11.76,3.1,99.99999999876307,51.30991144785712,True,1,9.999999035284887e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,24,30.0,10.0,30.0,25.0,1.0,False,0.1440922190201729,1.087440243527458,0.0001,4.511090088753936e-10,5.977341462100937e-11,7.546984085410376,30.1,7.85,3.83,99.9999999985013,97.04919283055811,True,1,9.999995270874819e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,25,30.0,10.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.5110784852457965e-10,9.962234684008738e-11,4.528179297449122,31.83,8.55,3.72,99.99999999858277,21.725249931428003,True,1,9.999997295675175e-13,Rezaee2025_Table5
held_2014_s2_no_born_no_kij_pH_stoich,26,30.0,10.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.5110784852457965e-10,9.962234684008738e-11,4.528179297449122,31.65,8.22,3.85,99.9999999985747,17.61504668699018,True,1,9.999997295675175e-13,Rezaee2025_Table5
held_2014_s2_no_born_table9_kij_inverseK_diagnostic,1,25.0,9.5,20.0,10.0,1.0,True,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,0.0207531316112246,0.0003951680649036177,52.51722862849844,29.69,8.32,3.57,99.93010060083792,1371.070829929928,False,120,4.9015258563019725e-06,Rezaee2025_Table5
held_2014_s2_no_born_table9_kij_inverseK_diagnostic,2,35.0,9.5,20.0,10.0,1.0,True,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,0.02075364046801694,0.0003949994942551463,52.5409292160038,34.01,12.93,2.63,99.93897782867387,1897.7539625856957,False,120,4.899430962495048e-06,Rezaee2025_Table5
held_2014_s2_no_born_table9_kij_inverseK_diagnostic,3,25.0,10.5,20.0,10.0,1.0,True,0.1440922190201729,0.43497609741098314,0.00031622776601683794,0.20491179920322675,0.00481945539432144,42.517625423956744,41.35,11.14,3.71,99.504445467465,1046.0276394597504,False,120,5.979945912300965e-05,Rezaee2025_Table5
held_2014_s2_no_born_table9_kij_inverseK_diagnostic,4,35.0,10.5,20.0,10.0,1.0,True,0.1440922190201729,0.43497609741098314,0.00031622776601683794,0.20491199238715802,0.004819391397647149,42.51823010000746,39.24,14.21,2.76,99.47779818453832,1440.5155833336037,False,120,5.979866381122588e-05,Rezaee2025_Table5
held_2014_s2_no_born_table9_kij_inverseK_diagnostic,5,25.0,9.5,40.0,10.0,1.0,True,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,0.021246933642325626,0.0002259243594770116,94.04445670006452,33.03,11.3,2.92,99.93567383093453,3120.7005719200174,False,120,1.5501514503279193e-06,Rezaee2025_Table5
