experiment_no,mode,T_C,pH,topo_wt_pct,na_li_mass_ratio,initial_Li_mol,initial_Na_mol,initial_OH_mol_from_pH,initial_DES_mol,oh_limited_max_li_plus_na_extraction_mol,li_extraction_pct_calc,na_extraction_pct_calc,li_extraction_pct_exp,na_extraction_pct_exp,li_abs_pct_error,na_abs_pct_error,selectivity_calc,selectivity_exp,converged,iterations,final_extent_delta,source
18,package_struct_default_no_explicit_elec_model,40.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.4707465520984877e-10,7.663295796413546e-11,31.51,13.65,31.509999999652926,13.649999999923367,4.529052047974987,2.31,True,1,9.999948503510132e-13,Rezaee2025_Table5
19,package_struct_default_no_explicit_elec_model,30.0,9.0,30.0,15.0,0.1440922190201729,0.6524641461164746,1e-05,3.3738191632928474,1e-05,3.470072935753497e-10,7.663260176263217e-11,33.64,11.07,33.63999999965299,11.069999999923368,4.528194079201399,3.04,True,1,9.99999498525207e-13,Rezaee2025_Table5
20,package_struct_default_no_explicit_elec_model,30.0,11.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.001,3.3738191632928474,0.001,3.477296792031657e-10,7.663640736267506e-11,39.9,11.32,39.899999999652266,11.319999999923365,4.537395360374418,3.52,True,1,9.999498381735582e-13,Rezaee2025_Table5
21,package_struct_default_no_explicit_elec_model,30.0,10.0,10.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,4.3377674956622325,0.0001,3.470187862085788e-10,7.663259087865896e-11,38.01,9.79,38.009999999652976,9.789999999923367,4.528344692900346,3.88,True,1,9.999996405532527e-13,Rezaee2025_Table5
22,package_struct_default_no_explicit_elec_model,30.0,10.0,50.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,2.4098708309234627,0.0001,3.4718029095349283e-10,7.663550774257131e-11,38.91,11.58,38.90999999965282,11.579999999923364,4.530279777354863,3.36,True,1,9.999615775708146e-13,Rezaee2025_Table5
23,package_struct_default_no_explicit_elec_model,30.0,10.0,30.0,5.0,0.1440922190201729,0.21748804870549157,0.0001,3.3738191632928474,0.0001,3.470601679036552e-10,2.298980239362183e-10,36.47,11.76,36.46999999965294,11.759999999770102,1.509626581218209,3.1,True,1,9.999985474572698e-13,Rezaee2025_Table5
24,package_struct_default_no_explicit_elec_model,30.0,10.0,30.0,25.0,0.1440922190201729,1.087440243527458,0.0001,3.3738191632928474,0.0001,3.470994905880148e-10,4.598003469662425e-11,30.1,7.85,30.0999999996529,7.8499999999540195,7.548917543846439,3.83,True,1,9.99989197442039e-13,Rezaee2025_Table5
25,package_struct_default_no_explicit_elec_model,30.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.470729386878925e-10,7.663294763637181e-11,31.83,8.55,31.829999999652927,8.549999999923367,4.529030259083542,3.72,True,1,9.99994985120923e-13,Rezaee2025_Table5
26,package_struct_default_no_explicit_elec_model,30.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.470729386878925e-10,7.663294763637181e-11,31.65,8.22,31.649999999652927,8.219999999923367,4.529030259083542,3.85,True,1,9.99994985120923e-13,Rezaee2025_Table5
1,2025_born_no_ssm_empirical,25.0,9.5,20.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.4702791983477923e-10,1.1494892633305126e-10,29.69,8.32,29.689999999652972,8.319999999885052,3.0189748691458487,3.57,True,1,9.999992924413354e-13,Rezaee2025_Table5
